Team,Season,Mean_Salary,Median.Salary,Max,Min,Standard_deviation,Total,salaries
GSW,14_15,4833795.066666666,3049920,15012000,259634,5171063.565569514,72506926,
HOU,14_15,5058439.117647059,1618680,21436271,507336,6260350.245253155,85993465,
IND,14_15,5183458.928571428,3565000,15800000,507336,5361275.560199392,72568425,
LAC,14_15,5760973.533333333,3396250,20068563,111548,6197426.855595161,86414603,
LAL,14_15,4521972.222222222,1072692,23500000,48028,6917070.024422161,81395500,
MEM,14_15,4926460.411764706,3000000,16500000,173008,5294186.40869682,83749827,
MIA,14_15,4711005.3125,2244250,20644400,215811,5955599.108855114,75376085,
MIL,14_15,3107229.6875,1930260,11000000,818049,2922081.5006027175,49715675,
MIN,14_15,3576044.052631579,1971960,12100000,29843,3624240.0177090075,67944837,
NOP,14_15,4887578.625,1575094,14898938,268973,5377807.001840469,78201258,
NYK,14_15,4044869.5714285714,1293582,22458401,295455,6208009.267052755,56628174,
OKC,14_15,5448522.857142857,2721001.5,19997513,1090000,6057629.151636507,76279320,
ORL,14_15,2836157.9285714286,2454636,8579088,816482,2129988.019676509,39706211,
PHI,14_15,1506077.894736842,816482,6601125,37686,1804287.9263756624,28615480,
PHX,14_15,3335282.785714286,2626930,13000000,48028,3624838.291116896,46693959,
POR,14_15,4460408,3122500,15200000,107435,4113209.9893076047,71366528,
SAC,14_15,4310082.176470588,2745840,19317326,29843,5242398.0946715865,73271397,
SAS,14_15,4725498.714285715,2963559,12500000,487905,3914200.717942994,66156982,
TOR,14_15,4786488.133333334,3678360,12000000,106567,3455556.144836413,71797322,
UTA,14_15,3443094.5,1542680,14746000,152199,4650970.661229658,48203323,
WAS,14_15,5002132.692307692,4250000,13701250,981084,3741068.9483447415,65027725,
ATL,15_16,5919486.666666667,4220000,18671659,525093,5236703.2074779,71033840,
BKN,15_16,3119852.2352941176,1335480,19689000,99418,5092775.45973137,53037488,
BOS,15_16,3886856.1333333333,2616975,12000000,61774,3222632.608409242,58302842,
CHA,15_16,4807358.25,3619278,13500000,57726,4398012.272856447,76917732,
CHI,15_16,5804922.533333333,2380440,20093064,525093,6249123.087586265,87073838,
CLE,15_16,7209169.866666666,4950000,22970500,172971,7631984.322681365,108137548,
DAL,15_16,7188957.357142857,4870000,17120776,525093,6257053.677550305,100645403,
DEN,15_16,3465927.6,1842000,14000000,61775,3985234.877970858,51988914,
DET,15_16,4443514.357142857,2866860,16000000,222888,4837403.23375589,62209201,
GSW,15_16,6462554.4,3873398,15501000,845059,5384486.97944782,96938316,
HOU,15_16,5671425.642857143,2839661.5,22359364,200600,6471398.128689831,79399959,
IND,15_16,5512693,4000000,16900000,845059,4867438.853900637,77177702,
LAC,15_16,6280561,3110796,21468695,70549,7593265.978909772,94208415,
LAL,15_16,4916435.307692308,1724250,25000000,525093,7255536.003126674,63913659,
MEM,15_16,3959001.4285714286,2080465,19689000,92662,4792671.278427716,83139030,
MIA,15_16,7742374.428571428,3577470,22309344,61774,8503130.842575978,108393242,
MIL,15_16,4601705,2671130,16407500,855000,4903469.3229949875,64423870,
MIN,15_16,4318479.857142857,2102640,12700000,197111,4115515.956527385,60458718,
NOP,15_16,4490329.222222222,2910784,15514031,26456,4697627.465129074,80825926,
NYK,15_16,4977109.666666667,2814000,22875000,30887,5993179.651919537,74656645,
OKC,15_16,6380559.133333334,3344000,21971850,352749,6906336.399007972,95708387,
ORL,15_16,3944517.4285714286,3123600,11250000,61775,3259312.2589743165,55223244,
PHI,15_16,2154146.5,1037500,6750000,339762,1936317.7222657115,25849758,
PHX,15_16,4613421.428571428,2434920,13500000,114284,5006442.051952091,64587900,
POR,15_16,3093726.6,2637720,8042895,525093,2458456.609305632,46405899,
SAC,15_16,4707370.666666667,3156600,14728844,525093,4515668.3268051995,70610560,
SAS,15_16,5474017.764705882,1499187,19689000,525093,6062642.401316654,93058302,
TOR,15_16,5104527.4375,4075596.5,13600000,650000,3853021.309613275,81672439,
UTA,15_16,3881656.4,2239800,15409570,30887,4611851.202296811,58224846,
WAS,15_16,4712165.071428572,3650000,14728844,349032,4124467.850474484,65970311,
ATL,16_17,6871604.466666667,4000000,23500000,72193,7379964.000297581,103074067,
