Sample_date,Sample_Time,DateTime, Station, Layer,SampleDepth_m,Salinity_ppt,pH,DO_mg/L,DO_pctSat,Turb_NTU,Chl_ug/L,BGA_RFU,T_Fahr,Temp_C
6/4/2020,12:30:0,06/04/20 12:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.7,8.11,94.8,11.63,6.56,,73.6988,23.166
6/4/2020,12:45:0,06/04/20 12:45, Potomac River - Mallows Bay Buoy,BS,,0.13,7.7,8.1,94.7,11.38,6.18,,73.6142,23.119
6/4/2020,13:0:0,06/04/20 13:00, Potomac River - Mallows Bay Buoy,BS,,0.13,7.8,8.63,103.2,6.6,5.79,,75.7778,24.321
6/4/2020,13:15:0,06/04/20 13:15, Potomac River - Mallows Bay Buoy,BS,,0.13,7.81,8.7,103.9,6.93,5.32,,75.6518,24.251
6/4/2020,13:30:0,06/04/20 13:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8.11,9.74,117.6,6.86,8.44,,76.7246,24.847
6/4/2020,13:45:0,06/04/20 13:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.15,9.69,115.1,10.2,10.19,,75.0542,23.919
6/4/2020,14:0:0,06/04/20 14:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.69,8.89,104.1,10.16,8.57,,73.7384,23.188
6/4/2020,14:15:0,06/04/20 14:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.73,8.94,104.5,11.34,8.69,,73.5818,23.101
6/4/2020,14:30:0,06/04/20 14:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.77,8.85,103.4,11.57,8.43,,73.6358,23.131
6/4/2020,14:45:0,06/04/20 14:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.85,9.08,106.4,15.85,10.32,,73.8248,23.236
6/4/2020,15:0:0,06/04/20 15:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.99,9.62,114.3,15.73,11.7,,75.173,23.985
6/4/2020,15:15:0,06/04/20 15:15, Potomac River - Mallows Bay Buoy,BS,,0.12,8.06,9.84,116.8,14.3,12.26,,75.0614,23.923
6/4/2020,15:30:0,06/04/20 15:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8.21,10.07,119.9,13.35,14.42,,75.335,24.075
6/4/2020,15:45:0,06/04/20 15:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.24,10.22,121.9,11.61,13.69,,75.5726,24.207
6/4/2020,16:0:0,06/04/20 16:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.15,9.98,118.6,10.82,12.81,,75.2252,24.014
6/4/2020,16:15:0,06/04/20 16:15, Potomac River - Mallows Bay Buoy,BS,,0.12,8.24,10.16,121.3,9.77,13.85,,75.6662,24.259
6/4/2020,16:30:0,06/04/20 16:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8.23,10.18,121.4,10.45,13.84,,75.5114,24.173
6/4/2020,16:45:0,06/04/20 16:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.16,10.01,118.7,10.8,13.15,,75.0344,23.908
6/4/2020,17:0:0,06/04/20 17:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.12,9.85,116.7,10.59,12.67,,74.8994,23.833
6/4/2020,17:15:0,06/04/20 17:15, Potomac River - Mallows Bay Buoy,BS,,0.12,8.11,9.8,116,10.18,12.21,,74.75,23.75
6/4/2020,17:30:0,06/04/20 17:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8.08,9.7,114.5,9.59,11.83,,74.5718,23.651
6/4/2020,17:45:0,06/04/20 17:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.04,9.56,112.7,9.71,11.04,,74.3576,23.532
6/4/2020,18:0:0,06/04/20 18:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.02,9.46,111.4,9.18,10.67,,74.2658,23.481
6/4/2020,18:15:0,06/04/20 18:15, Potomac River - Mallows Bay Buoy,BS,,0.12,8.02,9.44,111.2,9.08,10.47,,74.273,23.485
6/4/2020,18:30:0,06/04/20 18:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8,9.38,110.4,9.11,10.09,,74.1794,23.433
6/4/2020,18:45:0,06/04/20 18:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.03,9.42,111.2,7.76,10.02,,74.5322,23.629
6/4/2020,19:0:0,06/04/20 19:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.96,9.38,110.5,8.39,9.59,,74.345,23.525
6/4/2020,19:15:0,06/04/20 19:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.99,9.41,111,8.14,10.61,,74.4062,23.559
6/4/2020,19:30:0,06/04/20 19:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.95,9.33,109.8,7.36,9.64,,74.1974,23.443
6/4/2020,19:45:0,06/04/20 19:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.99,9.38,110.4,7.47,8.47,,74.2694,23.483
6/4/2020,20:0:0,06/04/20 20:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8,9.39,110.6,6.96,10.08,,74.3828,23.546
6/4/2020,20:15:0,06/04/20 20:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.84,8.95,105.2,11.35,8.96,,74.0714,23.373
6/4/2020,20:30:0,06/04/20 20:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.83,8.86,104.1,13.25,8.26,,74.0498,23.361
6/4/2020,20:45:0,06/04/20 20:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.88,9.01,106,10.64,8.99,,74.2514,23.473
6/4/2020,21:0:0,06/04/20 21:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.89,8.98,105.8,8.95,8.98,,74.354,23.53
6/4/2020,21:15:0,06/04/20 21:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.85,8.87,104.6,12.92,8.81,,74.3684,23.538
6/4/2020,21:30:0,06/04/20 21:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.8,8.73,102.8,13.67,8.23,,74.2712,23.484
6/4/2020,21:45:0,06/04/20 21:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.78,8.61,101.4,12.8,7.74,,74.3324,23.518
6/4/2020,22:0:0,06/04/20 22:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.72,8.37,98.5,16.68,7.59,,74.2694,23.483
6/4/2020,22:15:0,06/04/20 22:15, Potomac River - Mallows Bay Buoy,BS,,0.13,7.67,8.13,95.8,15.24,6.69,,74.282,23.49
6/4/2020,22:30:0,06/04/20 22:30, Potomac River - Mallows Bay Buoy,BS,,0.13,7.64,8.01,94.2,16.59,6.39,,74.2046,23.447
6/4/2020,22:45:0,06/04/20 22:45, Potomac River - Mallows Bay Buoy,BS,,0.13,7.66,8.07,94.8,16.89,7.25,,74.1686,23.427
6/4/2020,23:0:0,06/04/20 23:00, Potomac River - Mallows Bay Buoy,BS,,0.13,7.68,8.09,95.2,15.53,7.07,,74.2316,23.462
6/4/2020,23:15:0,06/04/20 23:15, Potomac River - Mallows Bay Buoy,BS,,0.13,7.67,8.05,94.8,20.11,7.6,,74.2676,23.482
6/4/2020,23:30:0,06/04/20 23:30, Potomac River - Mallows Bay Buoy,BS,,0.13,7.64,7.91,93.2,16.72,6.99,,74.3216,23.512
6/4/2020,23:45:0,06/04/20 23:45, Potomac River - Mallows Bay Buoy,BS,,0.13,7.63,7.85,92.4,11.31,6.14,,74.2568,23.476
6/5/2020,0:0:0,06/05/20 00:00, Potomac River - Mallows Bay Buoy,BS,,0.13,7.64,7.84,92.3,12.53,5.01,,74.1992,23.444
